Claim_ID,Date_of_Claim,Claim_Amount,Claim_Status,Reason_for_Claim,Policy_ID
CLM78047351,2020-03-16,23441,Pending,Wrong alone current particularly return blue task resource.,POL49030532
CLM31089109,2024-08-23,53008,Pending,Surface crime officer heart try American team.,POL88449964
CLM89401649,2021-01-26,49065,Denied,Summer always nation.,POL73218489
CLM44595411,2024-02-11,92090,Denied,Place along shoulder service determine hand particularly.,POL52778521
CLM99327506,2024-11-27,74210,Approved,Stock age score agency.,POL64494784
CLM41914779,2022-01-21,90113,Denied,Both could cell step likely also.,POL60442059
CLM64145456,2022-01-02,92268,Denied,Where challenge view over list important history.,POL04272099
CLM89693804,2024-11-03,11629,Approved,Enjoy argue look my.,POL39946670
CLM08968932,2021-05-02,17123,Denied,Sign newspaper itself by pressure write computer.,POL79130344
CLM61261323,2022-04-25,31678,Denied,Attorney seek strong vote.,POL99602250
CLM61128058,2023-01-24,61812,Denied,Which develop lay real standard sing president.,POL02303520
CLM51726152,2020-12-23,56661,Pending,Ten left side member second crime Democrat southern.,POL87573741
CLM10115959,2020-02-11,34173,Pending,Training might behind single capital central wonder official.,POL89482669
CLM28697442,2019-12-26,25630,Approved,Machine trouble people.,POL63887686
CLM26124703,2022-04-09,74988,Pending,Cell reveal church direction several budget.,POL40235413
CLM12431744,2020-09-23,18315,Pending,Serve language start ability door order build.,POL94744561
CLM30642848,2024-10-28,98629,Denied,International cause growth cause bank.,POL83964879
CLM18504460,2020-12-02,82957,Denied,Necessary rise everything.,POL96627466
CLM60564493,2024-01-13,95552,Approved,Citizen light to close participant campaign turn.,POL68469433
CLM98190112,2020-06-08,14225,Denied,Take arrive more have response early ago.,POL13287986
CLM70179165,2022-12-11,31263,Pending,Kitchen page star none page trade recent.,POL52933183
CLM56418751,2022-03-23,64027,Pending,Itself relationship chance cause consider check customer television.,POL00522342
CLM76727029,2020-10-31,20739,Pending,Teach how action parent must feeling.,POL74138353
CLM44819525,2021-03-26,31578,Approved,Board soon eat system have TV mother.,POL38116452
CLM09602602,2024-11-24,35509,Approved,Issue area class wait contain college land truth.,POL40650840
CLM72762178,2024-06-20,50343,Approved,Government whatever cold.,POL93099683
CLM86741739,2021-11-08,49265,Denied,Identify charge operation responsibility military.,POL43343233
CLM74916271,2020-07-01,82143,Denied,Expert plant shoulder rock news top.,POL59899170
CLM46687777,2023-01-28,8238,Pending,Allow weight customer memory exactly.,POL55583522
CLM64174646,2020-03-12,13574,Pending,Leader whatever report let region cost.,POL75098865
CLM60099452,2024-03-01,24198,Denied,Represent interview us go.,POL45114954
CLM24833636,2024-03-18,39072,Pending,Employee shake defense end build effect address national.,POL95213167
CLM34087445,2022-01-23,2052,Pending,Rise trade fish recognize east close.,POL83585187
CLM21161047,2023-08-10,41205,Approved,Happy language edge high morning look market understand.,POL90115447
CLM07703633,2023-12-28,44876,Approved,Edge and everything.,POL89664710
CLM70627461,2022-01-10,38085,Pending,Simple six easy and pull.,POL63810929
CLM47183530,2020-09-14,79337,Approved,After east north different hit four.,POL55128968
CLM03565688,2021-03-15,72682,Pending,Political green wrong interesting by condition assume.,POL80888212
CLM88651406,2021-11-22,44479,Denied,Listen seat sell go author.,POL36630030
CLM37034870,2020-01-26,60610,Pending,Drug end player step approach best.,POL36273981
CLM89955770,2020-05-09,40070,Denied,Anyone keep visit majority quickly.,POL71516749
CLM24497536,2023-10-10,34582,Approved,Series other relate a.,POL84868487
CLM76767404,2021-01-29,73124,Pending,Section better call investment year explain lay.,POL54898212
CLM71015091,2020-05-06,87744,Approved,Should different today employee.,POL79057725
CLM17667604,2021-06-29,91733,Approved,General social factor morning check no personal.,POL90883106
CLM52588369,2024-04-07,23759,Approved,End bring start people.,POL55589679
CLM36041290,2024-03-19,14076,Pending,Boy marriage time appear.,POL23939811
CLM65338936,2020-01-11,45957,Approved,Particular attention rise company hotel citizen.,POL95370014
CLM40496874,2021-04-05,45672,Denied,Simple box he capital.,POL86890782
CLM33792393,2020-09-07,52101,Approved,Most party answer machine artist sit today.,POL89399063
CLM21000281,2020-10-22,24745,Pending,Better well force free management every grow.,POL10731593
CLM18692207,2020-01-21,63714,Pending,How woman against than final.,POL18009742
CLM73750447,2024-04-30,70317,Approved,Want east news third radio.,POL62155198
CLM26923610,2023-04-23,46405,Approved,Receive list away become front weight add.,POL48112744
CLM09903413,2020-11-14,81091,Approved,Effect water nor whatever image foreign.,POL25517652
CLM73820508,2024-04-06,1885,Pending,Gas not people else apply.,POL91232159
CLM52714406,2023-11-23,52277,Denied,Leader around our audience science.,POL04896223
CLM44020103,2020-04-28,73298,Approved,News whose nor day military cold.,POL41122818
CLM06370448,2020-07-30,12126,Denied,Environmental sure live arrive painting yeah nor.,POL84231010
CLM25775755,2020-08-03,20948,Approved,Down know south civil something interview.,POL01930886
CLM05046762,2024-03-05,52987,Pending,Religious mission author data.,POL48016627
CLM90231847,2024-12-17,37972,Pending,Memory force language.,POL23259824
CLM72104756,2020-03-13,94872,Denied,Three collection fire cause although.,POL13020656
CLM55028211,2021-07-08,69794,Pending,Compare large son should order.,POL22378115
CLM66456226,2020-04-07,25993,Approved,Big agent here language.,POL56451530
CLM69299561,2023-02-26,62235,Pending,Across risk perhaps work.,POL74345799
CLM73648168,2020-06-23,76953,Denied,Discuss government thus teach.,POL72333651
CLM66838821,2022-04-02,67616,Approved,Water firm rock recognize state good.,POL61268918
CLM61342184,2023-08-24,43036,Approved,Move significant region let commercial road.,POL76204779
CLM09606812,2022-01-21,53327,Approved,Half national reflect situation.,POL96246636
CLM34365811,2022-04-20,67972,Denied,Record require agreement him.,POL28023746
CLM19372990,2022-03-30,64092,Denied,Gun nature structure staff.,POL77829667
CLM61291292,2022-09-16,49906,Pending,Protect read hold right may without.,POL56720424
CLM34649978,2022-06-04,21496,Denied,Game likely feeling above treat member treatment.,POL76517809
CLM22764510,2020-07-26,67650,Denied,Father act bit.,POL96567148
CLM65615895,2021-05-27,47916,Denied,Sing lawyer response shake machine baby then.,POL40483314
CLM88690330,2020-10-17,36854,Denied,Plan however talk.,POL66283142
CLM80961791,2022-07-15,85116,Approved,Change why garden middle day.,POL37677741
CLM63864884,2023-12-03,11676,Pending,So benefit gun start wrong might.,POL52356256
CLM48738491,2022-09-30,19689,Approved,Build really born possible job.,POL74568057
CLM79940309,2024-02-11,76618,Denied,Machine plant ten bit amount speech management.,POL13533618
CLM17914664,2022-01-11,3175,Pending,Important democratic force out be.,POL85095212
CLM61310563,2021-01-30,68211,Approved,Style prove star.,POL68966328
CLM37586461,2024-02-07,90377,Pending,Various necessary space live brother people western win.,POL63517748
CLM79061230,2023-06-13,51410,Denied,Pressure staff entire be respond might realize writer.,POL30595324
CLM10882276,2022-08-06,48523,Denied,Offer we page view institution.,POL38850914
CLM33109237,2024-12-08,42949,Approved,Debate thousand determine popular them bill.,POL33693707
CLM26793493,2021-04-26,50878,Pending,Eat ground way note if financial.,POL89539579
CLM99502517,2023-07-19,77840,Denied,Provide job look cultural remain authority look.,POL34373487
CLM47049613,2021-07-04,38535,Approved,Cut she evidence training college.,POL71765111
CLM45598189,2022-10-02,32682,Denied,Attorney car next war.,POL02911863
CLM64310548,2020-03-10,31807,Pending,Sometimes human gas team.,POL25403992
CLM38027642,2022-06-07,85857,Denied,Music team all determine standard effect piece.,POL93758442
CLM24689599,2023-01-30,99519,Approved,Relate case require turn commercial sense effort back.,POL94939680
CLM77978567,2022-04-28,62878,Approved,Cost ahead result be ever because time.,POL35733918
CLM85977113,2021-03-13,44518,Pending,World fill serious ground cover vote.,POL22260500
CLM92525391,2021-02-03,69142,Approved,Decide consumer difference every.,POL77809174
CLM51525048,2020-12-27,12468,Denied,Put check data foot son nice better evening.,POL07226848
CLM27318449,2022-06-03,73785,Denied,Source culture space standard compare law note big.,POL75706298
